fromAccountNumber,toAccountNumber,transferAmount
25565782,56882131,21725.73
01979107,87443639,6763.24
11630319,44448028,13475.8
33175034,56620733,22179.12
11941354,87539912,22182.85
63101782,32068603,4173.04
03151945,19537306,21136.69
31840491,15399519,2905.52
03494684,39717436,1753.25
09972940,78122345,13009.32
07240829,77404947,17118.15
49304695,80812913,13393.98
63497908,19801148,22755.88
79611701,20384838,15031.8
70613209,70246124,18279.93
75461263,52244315,19553.09
47658332,14599552,15631.65
90160400,27740422,3748.91
78884434,72298695,18057.13
45388132,51008505,16322.76
01992670,49566475,23827.18
40587530,54666030,24251.18
18191479,59618393,11486.25
74416226,55270908,6780.42
15626288,51710378,5360.4
67412853,11809487,9765.34
30133389,20072971,15527.74
20995256,66578406,10967.5
02703435,40060941,23064.52
25366792,16983342,23543.56
11323594,31630818,11977.17
97550198,80825517,23280.11
42403579,71988764,3184.97
33479491,07598098,10012.52
28710523,01812824,22984.56
15048387,94511468,3579.01
86707985,11573586,6601.56
76829734,41549919,24774.41
88162546,91747129,23844.22
57380049,51770914,6227.27
85207455,37847166,24304.25
86177566,93138987,2867.89
04360995,27547083,1167.18
86155526,09720794,4951.31
77173560,55870856,22808.87
62089418,27946527,5351.92
27905890,78253001,7487.1
05410323,96282076,22537.01
98366866,53908292,2696.6
67324453,80248279,16904.16
81155835,35471264,11233.78
43493050,28888512,18961.6
52280412,13374204,564.66
25147421,66720720,10103.52
01006131,64426488,18073.52
53627377,42866343,14628.15
78530140,88506180,2769.57
98091690,13188795,18183.14
84141071,07078941,622.69
71537795,24238076,525.5
12692132,36982400,16835.41
33248264,73167518,6012.92
84424631,96841952,23189.42
75769123,25363678,4829.43
33277240,00206990,24251.91
67066513,91972569,5072.78
51630287,19802817,964.43
81752867,87319224,5833.69
97251439,15648822,4251.8
56441383,20381820,13233.65
39296610,90559679,2303.98
80564249,93763905,3746.64
24834797,73830511,11454.31
14807336,99907952,10891.62
14543883,87536867,13629.46
92604261,07734182,23983.12
04916864,04680581,16508.8
22478580,53044198,4000.58
74933372,56275025,24454.9
56346541,94839883,6858.61
13461898,98359097,19763.17
33229133,47394339,16365.88
11570875,68392918,16493.9
31224598,21430787,1303.9
